author_id,journal_id,n_papers,topic_match_intra,work_ids
https://openalex.org/A5023403556,https://openalex.org/S4210192031,15,0.7853,https://openalex.org/W4293162690;https://openalex.org/W4281673226;https://openalex.org/W4224288469;https://openalex.org/W4303856673;https://openalex.org/W4323312983;https://openalex.org/W3208021954;https://openalex.org/W4309786545;https://openalex.org/W3200802697;https://openalex.org/W4280610173;https://openalex.org/W4229376346;https://openalex.org/W3202596486;https://openalex.org/W4304806451;https://openalex.org/W4311005398;https://openalex.org/W4223501034;https://openalex.org/W4281673962
https://openalex.org/A5023403556,https://openalex.org/S195231649,3,0.7501,https://openalex.org/W4200292687;https://openalex.org/W4309737898;https://openalex.org/W4200315031
https://openalex.org/A5100648348,https://openalex.org/S2485537415,16,0.7389,https://openalex.org/W3084522097;https://openalex.org/W3013632036;https://openalex.org/W2946361138;https://openalex.org/W2898240053;https://openalex.org/W3005880646;https://openalex.org/W2888960301;https://openalex.org/W3082793573;https://openalex.org/W2530842809;https://openalex.org/W3036963521;https://openalex.org/W3163936961;https://openalex.org/W2919054863;https://openalex.org/W3011794532;https://openalex.org/W3013595070;https://openalex.org/W3127944256;https://openalex.org/W2916179546;https://openalex.org/W3158097960
https://openalex.org/A5100648348,https://openalex.org/S207319443,4,0.7896,https://openalex.org/W3126861513;https://openalex.org/W3096790175;https://openalex.org/W3094515844;https://openalex.org/W3088245394
https://openalex.org/A5100648348,https://openalex.org/S4210205812,2,0.7037,https://openalex.org/W4284887701;https://openalex.org/W4310149543
https://openalex.org/A5101801167,https://openalex.org/S2485537415,7,0.8672,https://openalex.org/W4206385874;https://openalex.org/W4285191770;https://openalex.org/W4312537919;https://openalex.org/W4296910058;https://openalex.org/W4213364920;https://openalex.org/W4294871833;https://openalex.org/W4379534373
https://openalex.org/A5101801167,https://openalex.org/S4210206423,5,0.843,https://openalex.org/W4362665748;https://openalex.org/W4391145932;https://openalex.org/W4309663545;https://openalex.org/W4324141208;https://openalex.org/W4387265282
https://openalex.org/A5101801167,https://openalex.org/S196734849,6,0.8485,https://openalex.org/W4294025663;https://openalex.org/W4225843102;https://openalex.org/W4306407124;https://openalex.org/W4378901572;https://openalex.org/W4282938250;https://openalex.org/W4382137125
https://openalex.org/A5101801167,https://openalex.org/S101949793,4,0.8443,https://openalex.org/W3189033801;https://openalex.org/W4206918024;https://openalex.org/W3179292964;https://openalex.org/W4214689360
https://openalex.org/A5101801167,https://openalex.org/S4210178049,2,0.7101,https://openalex.org/W4280649213;https://openalex.org/W4220846003
https://openalex.org/A5041024491,https://openalex.org/S2729999759,21,0.7199,https://openalex.org/W2302963717;https://openalex.org/W2769436106;https://openalex.org/W2178887482;https://openalex.org/W4285271518;https://openalex.org/W4317879253;https://openalex.org/W4313459377;https://openalex.org/W4406237254;https://openalex.org/W2972922532;https://openalex.org/W4389064459;https://openalex.org/W1698091476;https://openalex.org/W3205529033;https://openalex.org/W2963899396;https://openalex.org/W2307020448;https://openalex.org/W2952345041;https://openalex.org/W4385859649;https://openalex.org/W4285166806;https://openalex.org/W4404939338;https://openalex.org/W4390075256;https://openalex.org/W3128366560;https://openalex.org/W2765715516;https://openalex.org/W3113219314
https://openalex.org/A5041024491,https://openalex.org/S139930977,2,0.8857,https://openalex.org/W3182483462;https://openalex.org/W2963959272
https://openalex.org/A5041024491,https://openalex.org/S155526855,2,0.8464,https://openalex.org/W2963960541;https://openalex.org/W3141413083
